artist_name, album_name,release_date,total_track
Ty Dolla $ign,Beach House 3 (Deluxe Edition),2018-05-11,26
Ty Dolla $ign,Beach House 3,2017-10-27,20
Ty Dolla $ign,Campaign,2016-09-23,16
Ty Dolla $ign,Free TC (Deluxe Edition),2016-03-25,19
Ty Dolla $ign,Free TC,2015-11-13,15
Ty Dolla $ign,Ty $,2014-12-08,11
Meghan Trainor,Takin' It Back (Deluxe),2023-03-10,20
Meghan Trainor,Takin' It Back,2022-10-21,16
Meghan Trainor,A Very Trainor Christmas (Deluxe),2021-10-29,21
Meghan Trainor,The Love Train,2021-02-12,9
Meghan Trainor,A Very Trainor Christmas,2020-10-30,18
Meghan Trainor,TREAT MYSELF (DELUXE),2020-07-17,20
Meghan Trainor,TREAT MYSELF,2020-01-31,15
Meghan Trainor,Thank You (Deluxe Version),2017-05-12,17
Meghan Trainor,Title (Expanded Edition),2015-01-09,18
Meghan Trainor,Title (Deluxe),2015-01-09,15
Meghan Trainor,Title - Track by Track Commentary,2015-01-08,15
Lil Uzi Vert,Pink Tape,2023-06-30,26
Future,Pluto x Baby Pluto (Deluxe),2020-11-13,24
Future,Pluto x Baby Pluto,2020-11-13,16
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2020-03-13,32
Lil Uzi Vert,Eternal Atake,2020-03-06,18
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),2017-11-17,20
Lil Uzi Vert,Luv Is Rage 2,2017-08-25,16
Lil Uzi Vert,The Perfect LUV Tape,2016-08-10,10
Lil Uzi Vert,Lil Uzi Vert vs. The World,2016-05-27,9
Lil Uzi Vert,Luv Is Rage,2015-12-18,12
USHER,My Way (25th Anniversary Edition),2022-09-16,16
USHER,"""A""",2018-10-12,8
USHER,Hard II Love,2016-09-16,15
USHER,Looking 4 Myself (Expanded Edition),2012-06-12,18
USHER,Versus,2010-08-24,9
USHER,Raymond v Raymond (Expanded Edition),2010-03-30,22
USHER,Here I Stand,2008-05-27,18
USHER,Confessions (Expanded Edition),2004-03-23,21
USHER,8701,2001-08-07,15
USHER,Live,1999-03-23,17
USHER,My Way,1997-09-16,10
USHER,Usher,1994-08-30,14
Lil Uzi Vert,Pink Tape,2023-06-30,26
Future,Pluto x Baby Pluto (Deluxe),2020-11-13,24
Future,Pluto x Baby Pluto,2020-11-13,16
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2020-03-13,32
Lil Uzi Vert,Eternal Atake,2020-03-06,18
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),2017-11-17,20
Lil Uzi Vert,Luv Is Rage 2,2017-08-25,16
Lil Uzi Vert,The Perfect LUV Tape,2016-08-10,10
Lil Uzi Vert,Lil Uzi Vert vs. The World,2016-05-27,9
Lil Uzi Vert,Luv Is Rage,2015-12-18,12
Wisin & Yandel,La Última Misión,2022-12-01,22
Wisin & Yandel,"Los Campeones del Pueblo ""The Big Leagues""",2018-12-14,14
Wisin & Yandel,Como en los Tiempos de Antes,2018-11-16,10
Wisin & Yandel,Wisin & Yandel y Amigos,2018-04-12,13
Wisin & Yandel,Wisin & Yandel en Vivo,2014-01-01,18
Wisin & Yandel,Líderes,2012-01-01,15
Wisin & Yandel,"Los Vaqueros, El Regreso",2010-01-01,22
Wisin & Yandel,La Revolución - Evolution (International Version),2009-01-01,22
Wisin & Yandel,La Revolucion,2009-01-01,15
Wisin & Yandel,El Duo de la Historia,2009-01-01,14
Wisin & Yandel,Pa'l Mundo,2005-11-08,23
Wisin & Yandel,Mi Vida…My Life,2003-01-01,25
Wisin & Yandel,De Otra Manera,2002-01-01,15
Wisin & Yandel,De Nuevos a Viejos,2001-01-01,13
Wisin & Yandel,Los Reyes del Nuevo Milenio,2000-01-01,10
Wizkid,"More Love, Less Ego",2022-11-11,13
Wizkid,Made In Lagos: Deluxe Edition,2021-08-27,18
Wizkid,Made In Lagos,2020-10-29,14
Wizkid,Ayo,2017-09-17,19
Wizkid,Sounds From The Other Side,2017-07-14,12
Wizkid,Superstar,2011-06-12,17
Wisin & Yandel,La Última Misión,2022-12-01,22
Wisin & Yandel,"Los Campeones del Pueblo ""The Big Leagues""",2018-12-14,14
Wisin & Yandel,Como en los Tiempos de Antes,2018-11-16,10
Wisin & Yandel,Wisin & Yandel y Amigos,2018-04-12,13
Wisin & Yandel,Wisin & Yandel en Vivo,2014-01-01,18
Wisin & Yandel,Líderes,2012-01-01,15
Wisin & Yandel,"Los Vaqueros, El Regreso",2010-01-01,22
Wisin & Yandel,La Revolución - Evolution (International Version),2009-01-01,22
Wisin & Yandel,La Revolucion,2009-01-01,15
Wisin & Yandel,El Duo de la Historia,2009-01-01,14
Wisin & Yandel,Pa'l Mundo,2005-11-08,23
Wisin & Yandel,Mi Vida…My Life,2003-01-01,25
Wisin & Yandel,De Otra Manera,2002-01-01,15
Wisin & Yandel,De Nuevos a Viejos,2001-01-01,13
Wisin & Yandel,Los Reyes del Nuevo Milenio,2000-01-01,10
10 Years,Deconstructed,2022-03-04,19
10 Years,Violent Allies,2020-09-18,12
10 Years,(how to live) AS GHOSTS [Deluxe Edition],2018-10-05,15
10 Years,From Birth to Burial,2015-04-21,11
10 Years,Live & Unplugged At The Tennessee Theatre,2013-10-29,6
10 Years,Minus The Machine (Bonus Track Version),2012-08-07,15
10 Years,Feeding The Wolves (Deluxe Version),2010-01-01,14
10 Years,Feeding The Wolves,2010-01-01,10
10 Years,Division,2008-01-01,13
10 Years,The Autumn Effect,2005-01-01,14
Daryl Hall & John Oates,Face The Fact (Live Hempstead '73),2023-06-01,11
Daryl Hall & John Oates,Marigold Sky,2022-03-25,15
Daryl Hall & John Oates,Automatic Action (Live '85),2021-10-26,13
Daryl Hall & John Oates,Lean And Hungry (Live Chicago '83),2021-02-15,22
Daryl Hall & John Oates,Return to Paradise (Live 1979),2020-08-03,10
Daryl Hall & John Oates,Eternity In The City (Chicago '78 WXRT Broadcast Remastered),2020-07-21,12
Daryl Hall & John Oates,Feed The Flame (Live 1980),2019-09-27,13
Daryl Hall & John Oates,Philadelphia,2019-07-14,15
Daryl Hall & John Oates,Live in Dublin,2015-01-01,15
Daryl Hall & John Oates,Hall And Oates I'm really Smokin,2014-02-25,20
Daryl Hall & John Oates,Live at The Troubadour,2008-11-25,19
Daryl Hall & John Oates,South Philly,2007-01-01,15
Daryl Hall & John Oates,Home for Christmas,2006-10-03,11
Daryl Hall & John Oates,"Legends Live in Concert (Live in Denver, 1980)",2006-01-01,13
Daryl Hall & John Oates,Our Kind of Soul,2004-10-26,18
Daryl Hall & John Oates,Do It for Love,2003-02-11,14
Daryl Hall & John Oates,Hall & Oates,1999-01-01,11
Daryl Hall & John Oates,Change Of Season,1990-03-09,12
Daryl Hall & John Oates,Ooh Yeah!,1988-07-27,10
Daryl Hall & John Oates,Live at the Apollo,1985-09-10,7
Daryl Hall & John Oates,Big Bam Boom (Expanded Edition),1984-01-01,13
Daryl Hall & John Oates,H2O,1982-10-04,11
Daryl Hall & John Oates,Private Eyes (Expanded Edition),1981-01-01,13
Daryl Hall & John Oates,Voices,1980-01-01,11
Daryl Hall & John Oates,X-Static (Expanded Edition),1979-01-01,12
Daryl Hall & John Oates,Along The Red Ledge,1978-08-21,10
Daryl Hall & John Oates,Livetime,1978-01-01,7
Daryl Hall & John Oates,Beauty On a Back Street,1977-09-01,9
Daryl Hall & John Oates,Bigger Than Both Of Us,1976-08-01,9
Daryl Hall & John Oates,Daryl Hall & John Oates (The Silver Album),1975-01-01,12
Daryl Hall & John Oates,War Babies,1974-01-01,10
Daryl Hall & John Oates,Abandoned Luncheonette,1973-01-01,9
Daryl Hall & John Oates,Whole Oats,1972-01-01,11
Daryl Hall & John Oates,Daryl Hall & John Oates Early Essentials,1970-01-08,11
